332,W 94TH ST AND LEAVITT ST,W 94TH ST AND BELL AVE
333,W 94TH ST AND OAKLEY AVE,W 94TH ST AND CLAREMONT AVE
334,W 97TH ST AND CLAREMONT AVE,W 97TH ST AND WESTERN AVE
335,W 97TH ST AND LEAVITT ST,W 97TH ST AND BELL AVE
336,W 98TH ST AND LEAVITT ST,W 98TH ST AND BELL AVE
337,S ASHLAND AVE AND 108TH PL,S ASHLAND AVE AND 109TH ST
338,S ASHLAND AVE AND 109TH ST,S ASHLAND AVE AND 109TH PL
339,10300 S CALIFORNIA AVE,10400 S CALIFORNIA AVE 
340,W EDMAIRE ST AND LONGWOOD DR,W EDMAIRE ST AND HOMEWOOD AVE
341,S FAIRFIELD AVE AND 107TH ST,S FAIRFIELD AVE AND 108TH ST
342,S HALE AVE AND 111TH ST,S HALE AVE AND EDMAIRE ST
343,S HARDING AVE AND 104TH PL,10452 S HARDING AVE 
344,W HOPKINS PL AND LONGWOOD DR,W HOPKINS PL AND PLEASANT AVE
345,W HOWLAND AVE AND LONGWOOD DR,W HOWLAND AVE AND PLEASANT AVE
346,W HUNT AVE AND LONGWOOD DR,W HUNT AVE AND PLEASANT AVE
347,8800 S LEAVITT ST,S LEAVITT ST AND 89TH ST
348,S LEAVITT ST AND 89TH ST,8930 S LEAVITT ST 
349,S LONGWOOD DR AND 87TH ST,S LONGWOOD DR AND HOWLAND AVE
350,S LONGWOOD DR AND HOWLAND AVE,S LONGWOOD DR AND HUNT AVE
351,S LONGWOOD DR AND HUNT AVE,S LONGWOOD DR AND HOPKINS PL
352,10100 S WALDEN PKWY,10300 S WALDEN PKWY 
353,S WALDEN PKWY AND 105TH ST,S WALDEN PKWY AND 107TH ST
354,W 49TH PL AND PEORIA ST,W 49TH PL AND MORGAN ST
355,E 66TH PL AND HARTWELL AVE,66TH PL AND INDIANA AVE
356,E 66TH PL AND MICHIGAN AVE,66TH PL AND HARTWELL AVE
357,E 66TH PL AND STATE ST,66TH PL AND WABASH AVE
358,E 66TH PL AND WABASH AVE,66TH PL AND MICHIGAN AVE
359,S MAY ST AND 48TH ST,S MAY ST AND 49TH ST
360,S PERRY AVE AND 60TH ST,S PERRY AVE AND 61ST ST
361,S STEWART AVE AND 59TH ST,S STEWART AVE AND 60TH ST
362,S STEWART AVE AND 60TH PL,S STEWART AVE AND 61ST ST
363,S STEWART AVE AND 60TH ST,S STEWART AVE AND 60TH PL
364,W 82ND ST AND VINCENNES AVE,558 W 82ND ST
365,W 83RD ST AND WALLACE AVE,W 83RD ST AND BIRKHOFF AVE
366,W 84TH ST AND WENTWORTH AVE,W 84TH ST AND LAFAYETTE AVE
367,W 86TH ST AND WALLACE ST,W 86TH ST AND PARNELL AVE
